Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2018,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),August,53.798,62.54989919,70.824,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),September,51.874,58.84280139,65.167,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),October,42.548,51.85881452,58.476,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),November,35.758,43.82494722,52.225,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),December,33.188,39.07266681,47.289,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),January,35.006,40.07197715,45.669,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),February,35.298,42.87406466,51.193,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),March,36.651,45.72767204,56.079,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),April,40.626,49.57881458,62.105,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),May,43.579,52.82584196,63.604,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),June,45.714,61.22319583,69.427,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),July,55.906,64.49245195,73.947,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),August,55.69,62.57031082,69.471,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),September,50.223,58.70033807,66.6,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),October,45.307,51.59919086,59.315,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),November,37.321,45.83654826,52.509,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),December,34.027,38.32092507,43.579,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),January,34.027,38.88311458,45.127,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),February,34.713,42.09934263,50.445,Coolwater,42.70951,-103.0094,
