Date,Temp
6/13/2017,59.916
6/13/2017,59.745
6/13/2017,59.572
6/13/2017,59.445
6/13/2017,59.272
6/13/2017,59.099
6/13/2017,58.885
6/13/2017,58.626
6/13/2017,58.411
6/13/2017,58.195
6/13/2017,58.023
6/13/2017,57.85
6/13/2017,57.722
6/13/2017,57.549
6/13/2017,57.42
6/14/2017,57.29
6/14/2017,57.16
6/14/2017,57.031
6/14/2017,56.901
6/14/2017,56.728
6/14/2017,56.556
6/14/2017,56.383
6/14/2017,56.208
6/14/2017,56.035
6/14/2017,55.906
6/14/2017,55.733
6/14/2017,55.602
6/14/2017,55.429
6/14/2017,55.299
6/14/2017,55.168
6/14/2017,54.995
6/14/2017,54.865
6/14/2017,54.734
6/14/2017,54.604
6/14/2017,54.516
6/14/2017,54.387
6/14/2017,54.3
6/14/2017,54.212
6/14/2017,54.082
6/14/2017,54.037
6/14/2017,53.908
6/14/2017,53.82
6/14/2017,53.733
6/14/2017,53.69
6/14/2017,53.602
6/14/2017,53.559
6/14/2017,53.559
6/14/2017,53.559
6/14/2017,53.559
6/14/2017,53.602
6/14/2017,53.69
6/14/2017,53.733
6/14/2017,53.865
6/14/2017,53.994
6/14/2017,54.126
6/14/2017,54.3
6/14/2017,54.516
6/14/2017,54.691
6/14/2017,54.952
6/14/2017,55.213
6/14/2017,55.558
6/14/2017,55.906
6/14/2017,56.295
6/14/2017,56.685
6/14/2017,56.944
6/14/2017,57.42
6/14/2017,57.679
6/14/2017,57.979
6/14/2017,58.239
6/14/2017,58.669
6/14/2017,59.099
6/14/2017,59.529
6/14/2017,60.046
6/14/2017,60.39
6/14/2017,60.775
6/14/2017,61.205
6/14/2017,61.59
6/14/2017,61.934
6/14/2017,62.276
6/14/2017,62.62
6/14/2017,62.875
6/14/2017,63.048
6/14/2017,63.219
6/14/2017,63.347
6/14/2017,63.433
6/14/2017,63.518
6/14/2017,63.518
6/14/2017,63.518
6/14/2017,63.475
6/14/2017,63.475
6/14/2017,63.433
6/14/2017,63.39
6/14/2017,63.304
6/14/2017,63.133
6/14/2017,63.005
6/14/2017,62.834
6/14/2017,62.661
6/14/2017,62.49
6/14/2017,62.276
6/14/2017,62.019
6/14/2017,61.804
6/14/2017,61.506
6/14/2017,61.205
6/14/2017,60.904
6/14/2017,60.561
6/14/2017,60.26
6/14/2017,59.959
6/14/2017,59.616
6/14/2017,59.358
6/14/2017,59.056
6/14/2017,58.798
6/15/2017,58.498
6/15/2017,58.239
6/15/2017,57.979
6/15/2017,57.722
6/15/2017,57.463
6/15/2017,57.247
6/15/2017,57.031
6/15/2017,56.815
6/15/2017,56.599
6/15/2017,56.383
6/15/2017,56.208
6/15/2017,55.992
6/15/2017,55.819
6/15/2017,55.647
6/15/2017,55.472
6/15/2017,55.299
6/15/2017,55.168
6/15/2017,54.995
6/15/2017,54.865
6/15/2017,54.691
6/15/2017,54.516
6/15/2017,54.387
6/15/2017,54.255
6/15/2017,54.082
6/15/2017,53.908
6/15/2017,53.776
6/15/2017,53.645
6/15/2017,53.559
6/15/2017,53.427
6/15/2017,53.384
6/15/2017,53.341
6/15/2017,53.341
6/15/2017,53.341
6/15/2017,53.384
6/15/2017,53.384
6/15/2017,53.472
6/15/2017,53.602
6/15/2017,53.733
6/15/2017,53.865
6/15/2017,54.082
6/15/2017,54.3
6/15/2017,54.516
6/15/2017,54.777
6/15/2017,55.038
6/15/2017,55.342
6/15/2017,55.558
6/15/2017,55.819
6/15/2017,56.122
6/15/2017,56.383
6/15/2017,56.685
6/15/2017,57.117
6/15/2017,57.592
6/15/2017,57.979
6/15/2017,58.368
6/15/2017,58.885
6/15/2017,59.315
6/15/2017,59.788
6/15/2017,60.303
6/15/2017,60.775
6/15/2017,61.205
6/15/2017,61.59
6/15/2017,62.019
6/15/2017,62.233
6/15/2017,62.49
6/15/2017,62.791
6/15/2017,62.962
6/15/2017,63.133
6/15/2017,63.475
6/15/2017,63.561
6/15/2017,63.604
6/15/2017,63.648
6/15/2017,63.732
6/15/2017,63.775
6/15/2017,63.775
6/15/2017,63.819
6/15/2017,63.732
6/15/2017,63.648
6/15/2017,63.604
6/15/2017,63.518
6/15/2017,63.39
6/15/2017,63.219
6/15/2017,63.09
6/15/2017,62.919
6/15/2017,62.791
6/15/2017,62.62
6/15/2017,62.447
6/15/2017,62.276
6/15/2017,62.105
6/15/2017,61.848
6/15/2017,61.633
6/15/2017,61.419
6/15/2017,61.205
6/15/2017,60.991
6/15/2017,60.733
6/15/2017,60.517
6/15/2017,60.303
6/16/2017,60.089
6/16/2017,59.873
6/16/2017,59.702
6/16/2017,59.486
6/16/2017,59.272
6/16/2017,59.056
6/16/2017,58.842
6/16/2017,58.669
6/16/2017,58.455
6/16/2017,58.239
6/16/2017,58.066
6/16/2017,57.85
6/16/2017,57.679
6/16/2017,57.463
6/16/2017,57.29
6/16/2017,57.074
6/16/2017,56.901
6/16/2017,56.728
6/16/2017,56.556
6/16/2017,56.383
6/16/2017,56.208
6/16/2017,56.035
6/16/2017,55.863
6/16/2017,55.69
6/16/2017,55.558
6/16/2017,55.386
